codeNomCom;codeCom;nomCom;dep
01030 - Beauregard;1030;Beauregard;1
01043 - Beynost;1043;Beynost;1
01049 - La Boisse;1049;La Boisse;1
01142 - Dagneux;1142;Dagneux;1
01157 - Fareins;1157;Fareins;1
01166 - Frans;1166;Frans;1
01194 - Jassans-Riottier;1194;Jassans-Riottier;1
01238 - Massieux;1238;Massieux;1
01243 - Messimy-sur-Saône;1243;Messimy-sur-Saône;1
01249 - Miribel;1249;Miribel;1
01250 - Misérieux;1250;Misérieux;1
01262 - Montluel;1262;Montluel;1
01275 - Neyron;1275;Neyron;1
01285 - Parcieux;1285;Parcieux;1
01322 - Reyrieux;1322;Reyrieux;1
01339 - Saint-Bernard;1339;Saint-Bernard;1
01347 - Saint-Didier-de-Formans;1347;Saint-Didier-de-Formans;1
01353 - Sainte-Euphémie;1353;Sainte-Euphémie;1
01376 - Saint-Maurice-de-Beynost;1376;Saint-Maurice-de-Beynost;1
01423 - Toussieux;1423;Toussieux;1
01427 - Trévoux;1427;Trévoux;1
38087 - Chasse-sur-Rhône;38087;Chasse-sur-Rhône;38
42031 - Caloire;42031;Caloire;42
42032 - Cellieu;42032;Cellieu;42
42036 - Chagnon;42036;Chagnon;42
42044 - Le Chambon-Feugerolles;42044;Le Chambon-Feugerolles;42
42051 - La Chapelle-Villars;42051;La Chapelle-Villars;42
42053 - Châteauneuf;42053;Châteauneuf;42
42083 - Dargoire;42083;Dargoire;42
42092 - L'Étrat;42092;L'Étrat;42
42093 - Farnay;42093;Farnay;42
42095 - Firminy;42095;Firminy;42
42099 - Fraisses;42099;Fraisses;42
42103 - La Grand-Croix;42103;La Grand-Croix;42
42110 - L'Horme;42110;L'Horme;42
42123 - Lorette;42123;Lorette;42
42183 - La Ricamarie;42183;La Ricamarie;42
42186 - Rive-de-Gier;42186;Rive-de-Gier;42
42189 - Roche-la-Molière;42189;Roche-la-Molière;42
42207 - Saint-Chamond;42207;Saint-Chamond;42
42218 - Saint-Étienne;42218;Saint-Étienne;42
42223 - Saint-Genest-Lerpt;42223;Saint-Genest-Lerpt;42
42225 - Genilac;42225;Genilac;42
42237 - Saint-Jean-Bonnefonds;42237;Saint-Jean-Bonnefonds;42
42242 - Saint-Joseph;42242;Saint-Joseph;42
42259 - Saint-Martin-la-Plaine;42259;Saint-Martin-la-Plaine;42
42270 - Saint-Paul-en-Cornillon;42270;Saint-Paul-en-Cornillon;42
42271 - Saint-Paul-en-Jarez;42271;Saint-Paul-en-Jarez;42
42275 - Saint-Priest-en-Jarez;42275;Saint-Priest-en-Jarez;42
42302 - Sorbiers;42302;Sorbiers;42
42305 - La Talaudière;42305;La Talaudière;42
42307 - Tartaras;42307;Tartaras;42
42311 - La Tour-en-Jarez;42311;La Tour-en-Jarez;42
42316 - Unieux;42316;Unieux;42
42330 - Villars;42330;Villars;42
43012 - Aurec-sur-Loire;43012;Aurec-sur-Loire;43
43153 - Pont-Salomon;43153;Pont-Salomon;43
43184 - Saint-Ferréol-d'Auroure;43184;Saint-Ferréol-d'Auroure;43
69003 - Albigny-sur-Saône;69003;Albigny-sur-Saône;69
69005 - Ambérieux;69005;Ambérieux;69
69009 - Anse;69009;Anse;69
69013 - Arnas;69013;Arnas;69
69020 - Belmont-d'Azergues;69020;Belmont-d'Azergues;69
69027 - Brignais;69027;Brignais;69
69028 - Brindas;69028;Brindas;69
69029 - Bron;69029;Bron;69
69033 - Cailloux-sur-Fontaines;69033;Cailloux-sur-Fontaines;69
69034 - Caluire-et-Cuire;69034;Caluire-et-Cuire;69
69040 - Champagne-au-Mont-d'Or;69040;Champagne-au-Mont-d'Or;69
69043 - Chaponost;69043;Chaponost;69
69044 - Charbonnières-les-Bains;69044;Charbonnières-les-Bains;69
69046 - Charly;69046;Charly;69
69047 - Charnay;69047;Charnay;69
69048 - Chassagny;69048;Chassagny;69
69049 - Chasselay;69049;Chasselay;69
69051 - Chaussan;69051;Chaussan;69
69052 - Chazay-d'Azergues;69052;Chazay-d'Azergues;69
69055 - Les Chères;69055;Les Chères;69
69059 - Civrieux-d'Azergues;69059;Civrieux-d'Azergues;69
69061 - Cogny;69061;Cogny;69
69063 - Collonges-au-Mont-d'Or;69063;Collonges-au-Mont-d'Or;69
69068 - Couzon-au-Mont-d'Or;69068;Couzon-au-Mont-d'Or;69
69069 - Craponne;69069;Craponne;69
69071 - Curis-au-Mont-d'Or;69071;Curis-au-Mont-d'Or;69
69072 - Dardilly;69072;Dardilly;69
69074 - Denicé;69074;Denicé;69
69076 - Dommartin;69076;Dommartin;69
69080 - Échalas;69080;Échalas;69
69081 - Écully;69081;Écully;69
69085 - Fleurieu-sur-Saône;69085;Fleurieu-sur-Saône;69
69087 - Fontaines-Saint-Martin;69087;Fontaines-Saint-Martin;69
69088 - Fontaines-sur-Saône;69088;Fontaines-sur-Saône;69
69089 - Francheville;69089;Francheville;69
69091 - Givors;69091;Givors;69
69092 - Gleizé;69092;Gleizé;69
69094 - Grézieu-la-Varenne;69094;Grézieu-la-Varenne;69
69096 - Grigny;69096;Grigny;69
69097 - Les Haies;69097;Les Haies;69
69100 - Irigny;69100;Irigny;69
69101 - Jarnioux;69101;Jarnioux;69
69105 - Lacenas;69105;Lacenas;69
69106 - Lachassagne;69106;Lachassagne;69
69112 - Lentilly;69112;Lentilly;69
69114 - Liergues;69114;Liergues;69
69115 - Limas;69115;Limas;69
69116 - Limonest;69116;Limonest;69
69117 - Lissieu;69117;Lissieu;69
69118 - Loire-sur-Rhône;69118;Loire-sur-Rhône;69
69119 - Longes;69119;Longes;69
69121 - Lozanne;69121;Lozanne;69
69122 - Lucenay;69122;Lucenay;69
69125 - Marcilly-d'Azergues;69125;Marcilly-d'Azergues;69
69126 - Marcy;69126;Marcy;69
69127 - Marcy-l'Étoile;69127;Marcy-l'Étoile;69
69131 - Messimy;69131;Messimy;69
69133 - Millery;69133;Millery;69
69136 - Montagny;69136;Montagny;69
69140 - Morancé;69140;Morancé;69
69141 - Mornant;69141;Mornant;69
69142 - La Mulatière;69142;La Mulatière;69
69143 - Neuville-sur-Saône;69143;Neuville-sur-Saône;69
69148 - Orliénas;69148;Orliénas;69
69149 - Oullins;69149;Oullins;69
69152 - Pierre-Bénite;69152;Pierre-Bénite;69
69153 - Poleymieux-au-Mont-d'Or;69153;Poleymieux-au-Mont-d'Or;69
69156 - Pommiers;69156;Pommiers;69
69159 - Pouilly-le-Monial;69159;Pouilly-le-Monial;69
69163 - Quincieux;69163;Quincieux;69
69166 - Riverie;69166;Riverie;69
69168 - Rochetaillée-sur-Saône;69168;Rochetaillée-sur-Saône;69
69176 - Soucieu-en-Jarrest;69176;Soucieu-en-Jarrest;69
